"gender","age","attitude","deep","stra","surf","points"
"F",21,33,1.0372104484968,0.336169160194667,0.984833659491194,28
"F",21,35,1.0372104484968,0.336169160194667,0.984833659491194,17
"F",20,36,0.992114342040414,0.32155310975142,1.04452054794521,18
"M",22,37,1.17249876786594,0.380017311524406,0.746086105675147,17
"M",21,42,1.01466239526861,0.328861134973044,1.31311154598826,23
"M",21,32,1.12740266140956,0.36540126108116,1.0146771037182,26
"F",20,50,1.08230655495318,0.350785210637913,1.22358121330724,28
"M",22,47,1.08230655495318,0.350785210637913,0.567025440313112,31
"F",20,36,1.24014292755052,0.401941387189276,1.04452054794521,27
"F",20,36,0.992114342040414,0.32155310975142,1.07436399217221,25
"M",24,29,0.992114342040414,0.32155310975142,1.04452054794521,23
"F",20,35,1.0372104484968,0.336169160194667,0.954990215264188,21
"F",19,40,0.698989650073928,0.226548781870319,1.07436399217221,27
"F",21,35,0.947018235584032,0.306937059308174,0.984833659491194,28
"F",21,32,0.834277969443075,0.270396933200058,1.10420743639922,23
"F",22,26,1.14995071463775,0.372709286302783,0.895303326810176,21
"F",25,20,0.856826022671267,0.277704958421681,0.835616438356164,25
"F",21,27,0.834277969443075,0.270396933200058,1.07436399217221,11
"F",22,32,1.12740266140956,0.36540126108116,1.07436399217221,19
"F",25,33,0.608797437161163,0.197316680983826,1.43248532289628,24
"F",20,39,0.901922129127649,0.292321008864928,1.16389432485323,28
"M",24,33,0.834277969443075,0.270396933200058,1.25342465753425,21
"F",20,30,0.744085756530311,0.241164832313565,1.25342465753425,24
"M",21,37,0.879374075899458,0.285012983643304,1.37279843444227,24
"F",20,25,1.08230655495318,0.350785210637913,1.04452054794521,20
"F",20,29,0.969566288812223,0.314245084529797,0.775929549902153,19
"M",31,39,1.10485460818137,0.358093235859536,0.596868884540117,30
"F",20,36,1.14995071463775,0.372709286302783,0.746086105675147,22
"F",22,29,0.92447018235584,0.299629034086551,1.0146771037182,16
"F",22,21,0.834277969443075,0.270396933200058,1.22358121330724,16
"M",21,31,0.947018235584032,0.306937059308174,1.19373776908023,19
"M",22,40,0.992114342040414,0.32155310975142,0.925146771037182,30
"F",21,31,1.14995071463775,0.372709286302783,1.0146771037182,23
"F",21,23,1.14995071463775,0.372709286302783,1.19373776908023,19
"F",21,28,1.0372104484968,0.336169160194667,1.07436399217221,18
"F",21,37,1.19504682109414,0.387325336746029,0.925146771037182,28
"F",20,26,0.947018235584032,0.306937059308174,0.86545988258317,21
"F",21,24,0.969566288812223,0.314245084529797,1.28326810176125,19
"F",25,30,0.992114342040414,0.32155310975142,0.746086105675147,27
"M",21,28,0.563701330704781,0.18270063054058,1.55185909980431,24
"F",24,29,1.14995071463775,0.372709286302783,0.954990215264188,21
"F",20,24,0.969566288812223,0.314245084529797,1.07436399217221,20
"M",21,31,1.08230655495318,0.350785210637913,0.954990215264188,28
"F",20,19,0.901922129127649,0.292321008864928,0.775929549902153,12
"F",20,20,0.947018235584032,0.306937059308174,0.954990215264188,21
"F",18,38,0.856826022671267,0.277704958421681,0.805772994129158,28
"F",21,34,0.969566288812223,0.314245084529797,0.954990215264188,31
"F",19,37,0.92447018235584,0.299629034086551,1.19373776908023,18
"F",21,29,1.14995071463775,0.372709286302783,1.25342465753425,25
"F",20,23,0.879374075899458,0.285012983643304,0.984833659491194,19
"M",21,41,1.19504682109414,0.387325336746029,0.716242661448141,21
"F",20,27,0.879374075899458,0.285012983643304,1.0146771037182,16
"F",21,35,1.05975850172499,0.34347718541629,1.25342465753425,7
"F",20,34,0.969566288812223,0.314245084529797,0.895303326810176,21
"F",18,32,1.21759487432233,0.394633361967652,1.13405088062622,17
"M",22,33,0.969566288812223,0.314245084529797,1.10420743639922,22
